product_id,prod_desc,world_group,division_code,division_desc
401,Hema E-Vouchers,newservices&innovate,ns,Newservices&Innovate
917,Va Main Group Cat 17,Miscellaneous,dv,Miscellaneous
453,Animals,Miscellaneous,dv,Miscellaneous
63,Pastries And Cakes,food,ve,Fresh
400,Hema Cell Number,newservices&innovate,ns,Newservices&Innovate
454,Shopping,women,wo,Women
103,Chocolate,food,hb,Non-Perishable
172,Animal Accessories,food,hb,Non-Perishable
364,Ladies Skirts / Trou,women,wo,Women
360,Sports Clothing,women,wo,Women
268,Bake-Off Bread,food,ve,Fresh
822,Materials,Miscellaneous,dv,Miscellaneous
308,Girls' Clothing,baby/kids/men,ki,Kids
278,Gelderse Smoked Saus,food,ve,Fresh
119,Self Care Lw,"Celebration, Study & Beauty",be,Beauty & Care
79,Window Cov. Ready-Ma,Home & Seasonal,li,Living
381,Rolls Of Film,photo services ,ps,Photo Services 
200,Light Bulbs,Home & Seasonal,es,Essentials
851,Gift Card,Miscellaneous,dv,Miscellaneous
215,Body Shaping / Mater,women,wo,Women
260,Large Loaf Of Bread,food,hb,Non-Perishable
161,Men'S Accessories,baby/kids/men,me,Men
386,Photo Printing Servi,photo services ,ps,Photo Services 
342,Men'S Fashion,baby/kids/men,me,Men
330,Baby Girls Clothing,baby/kids/men,ba,Baby
61,Rest / Café Raw Mat,food,hr,Café/Restaurant
705,Kids Gifts,"Celebration, Study & Beauty",to,Toys
344,Rainwear,women,wo,Women
230,Children'S Nightwear,baby/kids/men,ki,Kids
357,Food Promotion,food,hb,Non-Perishable
601,Home Decor,"Celebration, Study & Beauty",cb,Celebration
359,Staatsloterij Verk.,newservices&innovate,ns,Newservices&Innovate
41,Men'S Socks,baby/kids/men,me,Men
148,Small Office,"Celebration, Study & Beauty",st,Study
225,Toddler Swimming Fas,baby/kids/men,ba,Baby
606,Personal Care,"Celebration, Study & Beauty",cb,Celebration
44,Sport Socks,women,wo,Women
271,Frozen,food,ve,Fresh
94,Glass,Home & Seasonal,ce,Cooking & Eating
128,Bijoux,women,wo,Women
609,Food,"Celebration, Study & Beauty",cb,Celebration
366,Ladies Fashion,women,wo,Women
266,Wrapped Bread,food,ve,Fresh
604,Baby,"Celebration, Study & Beauty",cb,Celebration
224,Teenage Swimming,women,wo,Women
43,Children'S Socks / T,baby/kids/men,ki,Kids
251,X-Mas Decoration,Home & Seasonal,se,Seasonal
174,Drinks,food,hb,Non-Perishable
51,Bedroom Textiles,Home & Seasonal,bb,Bed/Bath
21,Shirts,baby/kids/men,me,Men
154,J & J Toys,"Celebration, Study & Beauty",to,Toys
380,Photo Service,photo services ,ps,Photo Services 
207,Dust Cloths / Mops,Home & Seasonal,es,Essentials
258,Easter,Home & Seasonal,se,Seasonal
341,Sports Goods,"Celebration, Study & Beauty",to,Toys
256,X-Mas Table Paper,Home & Seasonal,se,Seasonal
142,Party Goods,"Celebration, Study & Beauty",cb,Celebration
125,Online Bijoux,women,wo,Women
416,Bicycles,Home & Seasonal,es,Essentials
