store_id,store_name,store_size,zipcode,coaststore,trafficstore,PLAATS,GEMEENTE,PROVINCIE,regio,STN
49,Voorburg,B ,2273,0,0,Voorburg,Leidschendam Voorburg,Zuid-Holland,middle,210
122,Papendrecht,B ,3353,0,0,Papendrecht,Papendrecht,Zuid-Holland,middle,356
70,Purmerend,B ,1441,0,0,Purmerend,Purmerend,Noord-Holland,north,240
136,Kampen,B ,8261,0,0,Kampen,Kampen,Overijssel,north,273
296,Brielle,A ,3231,0,0,Brielle,Brielle,Zuid-Holland,middle,344
128,Dokkum,B ,9101,0,0,Dokkum,Dongeradeel,Friesland,north,270
243,Dordrecht-Sterrenburg,A ,3318,0,0,Dordrecht,Dordrecht,Zuid-Holland,middle,356
134,Houten,B ,3995,0,0,Houten,Houten,Utrecht,middle,260
54,Utrecht-Overvecht,C ,3562,0,0,Utrecht,Utrecht,Utrecht,middle,260
82,Nieuwegein,C ,3431,0,0,Nieuwegein,Nieuwegein,Utrecht,middle,260
630,Someren,A ,5711,0,0,Someren,Someren,Noord-Brabant,south,370
141,Naaldwijk,B ,2671,0,0,Naaldwijk,Westland,Zuid-Holland,middle,344
165,Mijdrecht,B ,3641,0,0,Mijdrecht,De Ronde Venen,Utrecht,middle,240
654,Delden,AA,7491,0,0,Delden,Hof Van Twente,Overijssel,north,290
28,Bussum,B ,1404,0,0,Bussum,Bussum,Noord-Holland,north,260
71,Vlissingen,B ,4381,1,0,Vlissingen,Vlissingen,Zeeland,south,310
158,Hardenberg,B ,7772,0,0,Hardenberg,Hardenberg,Overijssel,north,279
255,Geldrop,A ,5664,0,0,Geldrop,Geldrop Mierlo,Noord-Brabant,south,370
355,Hengelo-Hasselo,AA,7558,0,0,Hengelo (OV),Hengelo (OV),Overijssel,north,290
127,Wageningen,C ,6701,0,0,Wageningen,Wageningen,Gelderland,middle,275
180,Veldhoven,B ,5501,0,0,Veldhoven,Veldhoven,Noord-Brabant,south,370
57,Haarlem-Schalkwijk,C ,2037,0,0,Haarlem,Haarlem,Noord-Holland,north,240
308,Woudenberg,A ,3931,0,0,Woudenberg,Woudenberg,Utrecht,middle,260
114,Geleen,B ,6161,0,0,Geleen,Sittard Geleen,Limburg,south,380
35,Den Haag-Centrum,D ,2511,0,0,Den Haag,s Gravenhage,Zuid-Holland,middle,210
79,A'dam-Zuidoost,C ,1102,0,0,Amsterdam Zuidoost,Amsterdam,Noord-Holland,north,240
56,Groningen-Paddepoel,B ,9742,0,0,Groningen,Groningen,Groningen,north,280
62,Oosterhout,B ,4901,0,0,Oosterhout (NB),Oosterhout,Noord-Brabant,south,350
140,Culemborg,B ,4101,0,0,Culemborg,Culemborg,Gelderland,middle,356
372,Eersel,AA,5521,0,0,Eersel,Eersel,Noord-Brabant,south,370
